"ID","origin","destination","date"
"S-134","S","L",2010-06-12
"S-135","S","F",2010-06-12
"T-137","T","E",2010-06-12
"E-121","S","M",2010-07-12
"L-269","L","N",2010-07-12
"M-211","N","S",2010-07-12
"N-208","N","E",2010-07-12
"S-136","S","E",2010-07-12
"T-138","T","L",2010-07-12
"T-139","T","L",2010-07-12
"E-161","E","S",2010-08-12
"E-175","E","S",2010-08-12
"A-310","A","F",2010-09-12
"M-296","M","S",2010-09-12
"M-297","M","S",2010-09-12
"F-149","F","A",2010-10-12
"F-151","F","M",2010-10-12
"F-152","F","A",2010-10-12
"N-210","N","E",2010-10-12
"N-211","N","N",2010-10-12
"A-298","N","L",2010-11-12
"E-179","E","S",2010-11-12
"F-115","A","T",2010-11-12
"M-249","A","L",2010-11-12
"N-212","N","L",2010-11-12
"A-258","A","N",2010-12-12
"F-154","F","N",2010-12-12
"A-366","A","M",2011-01-12
"F-156","F","L",2011-02-12
"S-140","S","A",2011-02-12
"S-141","S","F",2011-02-12
"A-370","A","M",2011-03-12
"E-180","E","M",2011-03-12
"L-282","L","M",2011-03-12
"L-283","L","F",2011-03-12
"L-284","L","M",2011-03-12
"M-249","L","A",2011-03-12
"N-218","N","L",2011-03-12
"S-127","T","A",2011-03-12
"S-143","S","N",2011-03-12
"S-145","S","L",2011-03-12
"N-217","N","N",2011-03-12
"E-127","N","A",2011-04-12
"N-223","N","F",2011-04-12
"S-146","S","L",2011-04-12
"S-147","S","A",2011-04-12
"S-149","S","M",2011-04-12
"A-373","A","A",2011-04-12
"S-148","S","S",2011-04-12
"A-373","A","M",2011-05-12
"M-294","L","E",2011-05-12
"T-143","T","E",2011-05-12
"F-163","F","M",2011-06-12
"L-286","L","A",2011-06-12
"M-304","M","L",2011-06-12
"M-305","M","M",2011-06-12
"E-184","E","S",2011-07-12
"F-135","S","N",2011-07-12
"F-164","F","E",2011-07-12
"M-306","M","L",2011-07-12
"E-185","E","N",2011-08-12
"L-290","L","A",2011-08-12
"M-310","M","E",2011-08-12
"S-101","M","N",2011-08-12
"F-165","F","S",2011-09-12
"S-151","S","M",2011-09-12
"A-383","A","L",2011-10-12
"M-315","M","A",2011-10-12
"F-168","F","F",2011-10-12
"A-331","A","N",2011-11-12
"E-186","E","F",2011-11-12
"S-153","S","A",2011-11-12
"E-166","E","A",2011-12-12
"T-149","T","F",2011-12-12
"E-188","E","M",2012-01-12
"E-189","E","M",2012-01-12
"L-298","L","F",2012-01-12
"M-319","M","S",2012-01-12
"M-321","M","S",2012-01-12
"N-227","N","T",2012-01-12
"A-388","A","M",2012-02-12
"N-230","N","E",2012-02-12
"A-390","A","A",2012-02-12
"N-231","N","N",2012-02-12
"A-395","A","F",2012-03-12
"F-171","F","L",2012-03-12
"L-300","L","S",2012-03-12
"L-304","L","T",2012-03-12
"M-325","M","E",2012-03-12
"M-326","M","S",2012-03-12
"M-327","M","L",2012-03-12
"M-328","M","L",2012-03-12
"A-391","A","A",2012-03-12
"A-401","A","F",2012-04-12
"F-173","F","N",2012-04-12
"M-329","M","A",2012-04-12
"A-396","A","A",2012-04-12
"S-161","S","L",2012-05-12
"S-162","S","L",2012-06-12
"A-390","A","N",2012-07-12
"L-307","L","F",2012-08-12
"M-275","E","M",2012-08-12
"N-237","N","A",2012-08-12
"N-239","N","S",2012-08-12
"E-193","E","M",2012-09-12
"M-337","M","A",2012-09-12
"N-240","N","N",2012-09-12
"E-096","A","T",2012-10-12
"F-179","F","A",2012-10-12
"F-180","F","S",2012-10-12
"A-408","A","E",2012-11-12
"A-409","A","F",2012-11-12
"L-311","L","L",2012-11-12
"E-194","E","A",2012-12-12
"F-184","F","M",2012-12-12
"L-313","L","S",2012-12-12
"M-215","F","M",2012-12-12
"A-391","A","E",2013-01-12
"M-341","M","E",2013-01-12
"S-169","S","S",2013-01-12
"L-317","L","E",2013-02-12
"N-246","N","M",2013-02-12
"A-411","A","S",2013-03-12
"E-196","E","S",2013-03-12
"E-197","E","A",2013-03-12
"F-163","M","A",2013-03-12
"M-328","L","E",2013-03-12
"A-417","A","S",2013-04-12
"E-168","E","S",2013-04-12
"E-201","E","L",2013-04-12
"F-192","F","A",2013-04-12
"L-319","L","A",2013-04-12
"S-172","S","S",2013-04-12
"A-390","N","F",2013-05-12
"S-173","S","L",2013-05-12
"S-175","S","A",2013-05-12
"T-158","T","M",2013-05-12
"F-195","F","L",2013-06-12
"L-320","L","M",2013-06-12
"L-321","L","A",2013-06-12
"T-159","T","L",2013-06-12
"N-249","N","N",2013-06-12
"A-423","A","N",2013-07-12
"F-196","F","A",2013-07-12
"F-197","F","N",2013-07-12
"N-218","L","M",2013-07-12
"N-251","N","N",2013-07-12
"A-425","A","M",2013-08-12
"A-426","A","S",2013-08-12
"L-323","L","S",2013-08-12
"N-253","N","E",2013-08-12
"S-178","S","L",2013-08-12
"F-165","S","A",2013-09-12
"F-198","F","E",2013-09-12
"L-326","L","E",2013-09-12
"M-355","M","S",2013-09-12
"N-256","N","M",2013-09-12
"S-179","S","F",2013-09-12
"A-430","A","T",2013-10-12
"F-200","F","T",2013-10-12
"F-201","F","T",2013-10-12
"N-258","N","F",2013-10-12
"S-147","A","S",2013-11-12
"S-182","S","E",2013-11-12
"E-211","E","F",2013-12-12
"L-192","A","F",2013-12-12
"L-323","S","A",2013-12-12
"M-356","M","M",2013-12-12
"M-326","S","N",2014-02-12
"F-208","F","S",2014-03-12
"M-360","M","A",2014-03-12
"M-361","M","N",2014-03-12
"S-186","S","A",2014-04-12
"T-166","T","N",2014-04-12
"N-260","N","T",2014-05-12
"S-187","S","N",2014-05-12
"T-167","T","E",2014-05-12
"A-440","A","N",2014-06-12
"F-211","F","T",2014-06-12
"M-356","M","T",2014-06-12
"T-169","T","S",2014-06-12
"F-214","F","L",2014-07-12
"M-365","M","F",2014-07-12
"S-188","S","A",2014-07-12
"F-215","F","A",2014-08-12
"F-216","F","S",2014-08-12
"M-368","M","A",2014-08-12
"M-370","M","T",2014-08-12
"S-186","A","S",2014-08-12
"F-219","F","A",2014-09-12
"N-262","N","S",2014-09-12
"N-264","N","T",2014-10-12
"S-190","S","A",2014-10-12
"S-192","S","A",2014-11-12
"A-344","T","F",2014-12-12
"F-222","F","S",2014-12-12
"S-169","S","A",2014-12-12
"A-373","M","F",2015-01-12
"F-225","F","L",2015-01-12
"F-226","F","A",2015-01-12
"L-341","L","E",2015-01-12
"N-266","N","S",2015-01-12
"F-229","F","E",2015-02-12
"S-198","S","A",2015-02-12
"S-199","S","A",2015-03-12
"A-455","A","T",2015-04-12
"M-375","M","T",2015-04-12
"S-205","S","A",2015-04-12
"F-231","F","F",2015-04-12
"S-207","S","S",2015-04-12
"F-232","F","M",2015-05-12
"L-347","L","A",2015-05-12
"F-235","F","M",2015-06-12
"L-348","L","S",2015-06-12
"S-208","S","T",2015-06-12
"A-461","A","S",2015-07-12
"E-225","E","S",2015-07-12
"L-350","L","A",2015-07-12
"S-173","L","E",2015-08-12
"A-466","A","T",2015-09-12
"F-239","F","A",2015-10-12
"M-383","M","L",2015-10-12
"N-270","N","L",2015-10-12
"A-470","A","L",2015-11-12
"M-385","M","L",2015-11-12
"A-474","A","T",2015-12-12
"S-218","S","S",2015-12-12
"M-387","M","N",2016-01-12
"N-276","N","A",2016-01-12
"S-219","S","A",2016-01-12
"S-220","S","S",2016-01-12
"A-475","A","F",2016-02-12
"F-246","F","S",2016-02-12
"L-351","L","A",2016-02-12
"M-388","M","F",2016-02-12
"S-221","S","F",2016-02-12
"A-476","A","N",2016-03-12
"S-222","S","F",2016-03-12
"T-177","T","S",2016-03-12
"F-249","F","S",2016-04-12
"M-390","M","A",2016-04-12
"S-151","M","A",2016-04-12
"S-220","S","T",2016-04-12
"A-478","A","A",2016-04-12
"E-233","E","E",2016-04-12
"N-279","N","A",2016-05-12
"S-225","S","A",2016-05-12
"S-226","S","A",2016-05-12
"S-227","S","A",2016-05-12
"N-282","N","E",2016-06-12
"N-284","N","M",2016-06-12
"A-485","A","N",2016-07-12
"A-486","A","S",2016-07-12
"E-237","E","L",2016-07-12
"F-252","F","L",2016-07-12
"N-231","N","A",2016-07-12
"A-488","A","A",2016-07-12
"A-489","A","A",2016-07-12
"F-253","F","S",2016-08-12
"S-222","F","L",2016-08-12
"A-491","A","L",2016-09-12
"N-287","N","A",2016-09-12
"F-254","F","F",2016-09-12
"A-492","A","T",2016-10-12
"A-493","A","F",2016-10-12
"A-494","A","S",2016-10-12
"E-239","E","S",2016-10-12
"F-255","F","A",2016-10-12
"S-237","S","A",2016-10-12
"S-238","S","S",2016-10-12
"L-360","L","M",2016-12-12
"L-361","L","A",2016-12-12
"L-362","L","T",2016-12-12
"A-499","A","A",2016-12-12
"M-394","M","F",2017-01-12
"T-180","T","A",2017-01-12
"A-500","A","T",2017-02-12
"A-501","A","S",2017-02-12
"M-398","M","A",2017-02-12
"S-241","S","A",2017-02-12
"S-242","S","E",2017-02-12
"M-401","M","M",2017-03-12
"E-246","E","S",2017-04-12
"L-367","L","A",2017-04-12
"N-289","N","E",2017-04-12
"N-290","N","M",2017-04-12
"S-245","S","N",2017-04-12
"A-503","A","A",2017-04-12
"M-403","M","T",2017-05-12
"A-426","S","L",2017-06-12
"E-250","E","S",2017-06-12
"F-260","F","A",2017-06-12
"A-507","A","S",2017-07-12
"E-252","E","F",2017-07-12
"N-294","N","S",2017-07-12
"A-508","A","E",2017-08-12
"A-509","A","F",2017-09-12
"S-172","S","N",2017-09-12
"S-254","S","M",2017-09-12
"S-253","S","S",2017-09-12
"E-255","E","S",2017-10-12
"N-297","N","E",2017-10-12
"S-255","S","A",2017-10-12
"S-256","S","F",2017-10-12
"E-254","E","E",2017-10-12
"A-511","A","A",2017-11-12
"S-259","S","S",2017-12-12
"A-507","S","F",2018-01-12
"S-265","S","M",2018-01-12
"T-189","T","S",2018-01-12
"T-190","T","S",2018-01-12
"N-299","N","N",2018-01-12
"A-520","A","E",2018-02-12
"F-269","F","S",2018-02-12
"L-371","L","M",2018-02-12
"M-409","M","N",2018-02-12
"T-192","T","A",2018-02-12
"A-521","A","T",2018-03-12
"A-522","A","N",2018-03-12
"S-221","F","S",2018-04-12
"S-271","S","F",2018-04-12
"T-197","T","A",2018-04-12
"T-198","T","S",2018-04-12
"T-199","T","L",2018-04-12
"N-304","N","N",2018-04-12
"A-523","A","E",2018-05-12
"L-372","L","F",2018-05-12
"L-373","L","A",2018-05-12
"A-526","A","A",2018-05-12
"E-258","E","M",2018-06-12
"A-531","A","S",2018-07-12
"A-532","A","S",2018-07-12
"A-533","A","A",2018-07-12
"E-261","E","F",2018-08-12
"F-231","F","E",2018-08-12
"T-201","T","T",2018-08-12
"N-307","N","A",2018-09-12
"S-279","S","S",2018-09-12
"F-164","E","N",2018-10-12
"F-277","F","A",2018-10-12
"F-278","F","S",2018-10-12
"N-289","E","A",2018-10-12
"N-309","N","S",2018-10-12
"N-311","N","A",2018-10-12
"E-263","E","S",2018-11-12
"S-279","S","M",2018-11-12
"E-265","E","S",2018-12-12
"T-205","T","E",2018-12-12
"T-207","T","N",2018-12-12
"A-511","A","T",2019-01-12
"L-298","F","M",2019-01-12
"A-544","A","S",2019-02-12
"F-281","F","A",2019-02-12
"L-381","L","E",2019-02-12
"A-548","A","L",2019-03-12
"M-417","M","M",2019-03-12
"E-225","S","E",2019-04-12
"A-553","A","A",2019-04-12
"M-421","M","S",2019-05-12
"N-312","N","M",2019-05-12
"A-563","A","F",2019-06-12
"A-566","A","M",2019-06-12
"A-565","A","A",2019-06-12
"L-387","L","S",2019-07-12
"T-211","T","F",2019-07-12
"T-214","T","N",2019-08-12
"N-314","N","L",2019-09-12
"N-315","N","F",2019-09-12
"N-316","N","M",2019-09-12
"N-317","N","T",2019-09-12
"M-430","M","M",2019-10-12
"N-322","N","M",2019-11-12
"N-324","N","S",2019-11-12
"E-272","E","F",2019-12-12
"M-433","M","E",2020-01-12
"S-242","E","A",2020-01-12
"A-582","A","M",2020-02-12
"S-304","S","N",2020-03-12
"L-371","M","F",2020-04-12
"F-299","F","A",2020-05-12
"E-278","E","F",2020-07-12
"T-222","T","N",2020-07-12
"A-589","A","E",2020-08-12
"E-279","E","L",2020-08-12
"F-301","F","E",2020-08-12
"S-259","S","N",2020-08-12
"F-303","F","N",2020-09-12
"L-387","S","A",2020-09-12
"T-225","T","F",2020-10-12
"F-305","F","L",2020-11-12
"L-397","L","F",2020-11-12
"F-306","F","F",2020-11-12
"M-439","M","F",2020-12-12
"L-401","L","F",2021-01-12
"N-325","N","T",2021-01-12
"A-598","A","E",2021-02-12
"F-309","F","A",2021-02-12
"S-310","S","T",2021-03-12
"S-311","S","F",2021-03-12
"N-331","N","E",2021-04-12
"T-232","T","L",2021-04-12
"T-233","T","M",2021-04-12
"S-312","S","E",2021-05-12
"F-316","F","L",2021-06-12
"L-286","A","E",2021-06-12
"M-430","M","N",2021-06-12
"A-602","A","T",2021-08-12
"E-254","E","F",2021-08-12
"F-318","F","A",2021-08-12
"M-444","M","S",2021-08-12
"T-234","T","A",2021-08-12
"A-582","M","L",2021-09-12
"F-319","F","T",2021-09-12
"F-321","F","M",2021-09-12
"E-289","E","E",2021-09-12
"M-447","M","E",2021-10-12
"M-448","M","E",2021-10-12
"N-304","N","T",2021-10-12
"L-404","L","N",2021-11-12
"M-450","M","A",2021-11-12
"M-451","M","M",2021-11-12
"E-291","E","A",2021-12-12
"F-325","F","S",2021-12-12
"E-295","E","F",2022-01-12
"T-180","A","F",2022-01-12
"L-407","L","L",2022-02-12
"A-475","F","N",2022-03-12
"A-605","A","E",2022-03-12
"A-606","A","E",2022-03-12
"M-454","M","N",2022-03-12
"M-455","M","E",2022-03-12
"M-456","M","N",2022-03-12
"M-457","M","F",2022-03-12
"E-296","E","L",2022-04-12
"N-336","N","A",2022-04-12
"A-608","A","A",2022-05-12
"A-531","S","A",2022-06-12
"L-410","L","A",2022-06-12
"T-243","T","E",2022-06-12
"T-245","T","F",2022-06-12
"F-249","S","T",2022-07-12
"S-322","S","A",2022-07-12
"S-323","S","A",2022-07-12
"S-324","S","M",2022-07-12
"E-289","E","M",2022-09-12
"E-297","E","A",2022-09-12
"N-337","N","A",2022-09-12
"F-321","M","A",2022-10-12
"F-331","F","S",2022-10-12
"F-332","F","A",2022-10-12
"M-463","M","L",2022-10-12
"M-466","M","A",2022-10-12
"N-338","N","L",2022-10-12
"N-339","N","E",2022-10-12
"A-613","A","L",2022-11-12
"S-255","A","L",2022-11-12
"A-533","A","M",2022-12-12
"M-469","M","S",2022-12-12
"N-341","N","E",2022-12-12
"A-044","X","A",1996-04-12
"A-047","X","A",1996-04-12
"A-045","X","A",1996-04-12
"A-042","X","A",1996-04-12
"M-053","M","A",1996-04-12
"A-051","X","A",1996-04-12
"A-011","X","A",1996-04-12
"A-050","X","A",1996-04-12
"A-048","X","A",1996-04-12
"E-041","X","E",1996-04-12
"E-040","X","E",1996-04-12
"F-040","X","F",1996-04-12
"F-041","X","F",1996-04-12
"F-042","X","F",1996-04-12
"F-043","X","F",1996-04-12
"L-042","X","L",1996-04-12
"L-041","X","L",1996-04-12
"L-043","X","L",1996-04-12
"L-040","X","L",1996-04-12
"L-047","X","L",1996-04-12
"L-048","X","L",1996-04-12
"M-045","X","M",1996-04-12
"M-008","X","M",1996-04-12
"M-010","X","M",1996-04-12
"M-040","X","M",1996-04-12
"M-046","X","M",1996-04-12
"M-050","X","M",1996-04-12
"M-052","X","M",1996-04-12
"N-044","X","N",1996-04-12
"S-040","X","S",1996-04-12
"T-003","X","T",1996-04-12
"T-006","X","T",1996-04-12
